#{"t_start": 1770572360.01943, "env_id": "None"}
r,l,t
-16.670105,1,7.755013
-8.2353945,1,7.762978
-7.7619567,1,7.76299
-209.13353,15,7.771105
-7.6679983,1,7.771115
-8.230088,1,7.779003
-10.676238,1,7.779016
-136.93724,14,7.795055
-25.399654,3,7.795069
-12.297193,1,7.803569
-41.489643,4,7.818381
-118.33306,10,7.826228
-8.62484,1,7.83459
-62.816807,3,7.842409
-56.34242,7,7.850618
-7.577399,1,7.85918
-62.68649,6,7.884016
-223.28024,20,7.895105
-96.91961,10,7.895131
-119.639366,11,7.895139
-17.390894,1,7.902588
-21.338364,2,7.910908
-13.721084,1,7.919108
-73.597984,6,7.928417
-13.283412,1,7.928438
-17.18802,1,7.937824
-8.63968,1,7.937849
-7.45981,1,7.946429
-64.43686,6,7.95467
-15.27716,2,7.963302
-14.348121,1,7.963329
-37.368008,4,7.971993
-13.204243,1,7.972013
-21.126259,2,7.979862
-146.3598,11,7.987867
-27.415936,3,7.996471
-9.134439,1,7.996486
-30.349072,3,8.011345
-28.175386,3,8.025847
-88.14607,8,8.038167
-6.5911517,1,8.0455
-13.02495,1,8.053145
-13.706163,1,8.062078
-135.49466,14,8.06209
-87.56738,7,8.073215
-220.64801,18,8.08869
-9.072932,1,8.097417
-13.591727,1,8.105466
-11.382827,1,8.113283
-12.971861,1,8.120906
-105.13581,8,8.129399
-49.727077,3,8.142058
-12.687034,1,8.150697
-159.8533,14,8.159547
-14.024041,1,8.167663
-11.971072,1,8.177009
-107.814514,9,8.196097
-8.510037,1,8.204943
-267.93698,20,8.204958
-67.22029,6,8.216376
-62.524055,6,8.232623
-8.280805,1,8.240677
-162.39716,15,8.248789
-133.99489,11,8.262046
-48.69418,5,8.270603
-40.46038,4,8.270615
-8.765676,1,8.270621
-7.6101565,1,8.278689
-8.133072,1,8.28695
-24.691648,3,8.295648
-9.578955,1,8.295668
-189.09247,15,8.309164
-9.747916,1,8.317258
-84.94341,7,8.32683
-9.952867,1,8.326843
-7.1296153,1,8.336134
-58.0397,6,8.345516
-12.036468,1,8.345528
-13.715416,1,8.354446
-60.22535,6,8.376553
-10.4951725,1,8.385463
-78.095345,6,8.385486
-7.6589584,1,8.393893
-198.3303,16,8.404642
-49.46604,5,8.420539
-90.44485,7,8.428775
-188.86919,18,8.440496
-114.315414,9,8.454387
-13.347211,1,8.462317
-117.20192,9,8.476936
-9.091169,1,8.485722
-7.9736443,1,8.494014
-138.3365,12,8.49403
-76.44734,8,8.508117
-130.80922,12,8.508133
-83.56502,7,8.525
-22.41288,2,8.536128
-11.339132,1,8.544305
-70.619934,7,8.544328
-8.597108,1,8.551881
-22.501297,1,8.560414
-84.700615,9,8.560429
-8.809625,1,8.56901
-17.826372,2,8.581634
-206.68352,16,8.589865
-13.324629,1,8.58988
-22.923283,3,8.605567
-9.497099,1,8.613986
-9.036736,1,8.622858
-7.9491944,1,8.63198
-9.666621,1,8.640441
-146.05873,13,8.640456
-10.777864,1,8.648964
-8.684122,1,8.658076
-158.22462,14,8.665947
-26.786448,3,8.681367
-7.2726507,1,8.689828
-117.27057,11,8.708051
-213.18587,20,8.720052
-132.265,12,8.743823
-13.948046,1,8.75219
-257.92014,22,8.771013
-13.835848,1,8.778969
-177.95287,16,8.797548
-99.73792,9,8.797569
-16.468904,2,8.808435
-8.5823145,1,8.81683
-58.672092,6,8.830233
-100.02472,11,8.838796
-8.715467,1,8.838813
-60.552963,4,8.83882
-11.866314,1,8.847666
-369.64056,26,8.847685
-13.095885,1,8.856832
-63.3402,7,8.882683
-7.042758,1,8.890958
-7.5779123,1,8.898169
-35.48214,2,8.909889
-11.955536,1,8.917558
-143.1788,14,8.938442
-142.18678,13,8.938504
-47.270653,5,8.965709
-8.026575,1,8.98249
-266.0288,20,8.996221
-87.511635,10,9.020845
-73.497215,7,9.020878
-89.3501,9,9.038542
-46.700165,5,9.046746
-13.565056,1,9.055337
-154.54251,16,9.055355
-115.56368,10,9.075056
-51.642242,4,9.075085
-57.73756,5,9.083949
-8.472445,1,9.083964
